Stage,Time,What to show,What to say,Presenter action
Introduction,1 min,Title on Miro board,"Hello, my name is Osman. My background is in Python, AI, business automation, and testing AI assistants.",Introduce yourself briefly
Project goal,1 min,The Challenge frame,"The goal is to make previous applications easier to search, classify, and reuse.",Explain the business problem
Use cases,2 min,Use Cases frame,"I identified application classification and report-writing support. I selected application classification for this prototype.",Point to both use cases and highlight the selected one
Solution map,2 min,Solution Map frame,"Documents are ingested, divided into chunks, searched, classified, and used to generate answers with citations.",Follow the arrows from left to right
Technical design,2 min,Technical Design frame,"The prototype uses TF-IDF because it is simple and explainable. In production, I would evaluate embeddings and a vector database.",Explain current design and future improvements
Live demo: classification,2 min,Deployed demo,"What fields should be extracted from previous funding applications? The system identifies programme area, geography, donor type, target group, outcomes, and indicators.",Paste the question and click Ask
Live demo: report support,2 min,Deployed demo,"How can retrieved application data support report drafting? The retrieved source and answer change to focus on activities, evidence, and indicators.",Replace the question and click Ask again
Responsible AI,1 min,Responsible AI and Quality frame,"This demo uses synthetic data. With real data, we would need access control, anonymization, citations, confidence scores, and human review.",Point to the safeguards
Six-month plan,1 min,Six-Month Roadmap frame,"I would first understand the workflow, then prepare the data, improve retrieval, evaluate the system, and pilot it with users.",Walk through the timeline
Closing,1 min,Full Miro board,"The prototype demonstrates the complete workflow. My goal during the internship would be to develop a useful and trustworthy solution together with the users.",Thank them and invite questions
